image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7CBB9E469190>,"[['The brown dog is jumping and about to catch the treat.'], ['A brown dog jumps to catch a treat in midair.'], ['The dog is trying to catch a treat in his mouth'], ['The brown dog jumps to catch the treat.'], ['The brown dog is catching a treat.']]","[['A brown dog opens his mouth to catch a piece of food.'], ['A dog is about to catch a treat in his mouth.'], ['A brown dog is about to catch a treat.'], ['A dog opens its mouth to catch a treat'], ['The dog is catching a treat.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9E1FEC30>,"[['A group of men sit on the floor of a room with a white wall and a blue tarp.'], ['A group of men sit on a blue tarp on the floor of a small room.'], ['A group of Indian men sitting on the floor in a room.'], ['A group of men sitting in a room with blue tarp.'], ['A group of men are sitting in a small room.']]","[['A group of dark-skinned, south Asian men sit with their backs against the walls of a room that contains multiple posters as well as a closed window.'], ['A group of middle eastern men are pictured seated in a building.'], ['A group of men sitting on the floor of a windowless room.'], ['A room filled with Indian en sitting against the walls.'], ['Several barefoot men sitting on the floor.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9E2B60F0>,"[['A crowd of people are gathered under a bridge with Chinese characters painted on it.'], ['A group of people under a bridge with Chinese writing on the roof.'], ['People are gathered under a bridge with Chinese writing on it.'], ['People gather under a large sign with Asian writing on it.'], ['People are walking under a bridge.']]","[['There are many young people climbing stairs with one guy in blue jeans and t-shrt looking back at the cameraman.'], ['A large group of people ascend a staircase leaving a room with oriental writing on the ceiling.'], ['A large Asian crowd walking up a flight of stairs.'], ['A large group of people are going up the stairs.'], ['Several people walk up steps with one another.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7CBB9DC208F0>,"[['A man with black hair and wearing a white shirt is grilling food outdoors.'], ['A man with a white shirt is preparing food on a grill.'], ['A man with a white shirt is cooking meat on a grill.'], ['A man with a white shirt is cooking meat.'], ['A man grills meat.']]","[['A man is sitting with his head facing down, while other people are looking in his direction.'], ['A man appears to be cooking up some food for customers in the street.'], ['A man wearing a white shirt is cooking food on a small grill.'], ['Four men standing around a small grill preparing food.'], ['A food vendor prepares snacks for waiting customers.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBBDEDE96D0>,"[['A group of people walk past an ornate wall with columns.'], ['People walk past a wall with intricate carvings.'], ['A man and woman walking in front of a building.'], ['Tourists walking past a historical building.'], ['Tourists walking past an ornate wall.']]","[['Several people walking next to a concrete building with many archways'], ['These six people are walking outside a building with columns.'], ['A group of people are walking in single file at an exhibit.'], ['The five people are standing under three tan arches.'], ['Students are going to class at a university']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x500 at 0x7CBB9E574140>,"[['A black and brown dog is jumping over a pole in an agility course.'], ['A black dog is jumping over a set of colored poles.'], ['A black and white dog jumps over a yellow pole.'], ['A dog jumping over a bar in an agility test.'], ['A black and white dog jumps over a bar.']]","[['A dog is jumping over a series of colored gates.'], ['A black and white dog is jumping over a hurdle.'], ['A dog hurdles over a series of poles.'], ['A small black dog jumping over gates'], ['A dog jumping over a beam']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9EAC71D0>,"[['Four people are sitting at a table with plates of food and wine glasses while watching tv.'], ['A family of four is having a meal and watching television in a living room.'], ['A family of four sits down to a meal and watches TV at the same time.'], ['A family has dinner in the living room and watches television.'], ['A family is having a meal while watching television.']]","[['A family gathers for a nice meal in a comfortable home watching tv next to the fireplace.'], ['People are eating food while watching television.'], ['Four people sit down for dinner in a house.'], ['A family is dining and watching television.'], ['A family is having a meal together at home.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7CBBDEDEB530>,"[['A man and woman dance in a theater lobby while other people are watching from outside.'], ['A man and woman are dancing on the carpet while a crowd watches.'], ['A man and a woman are dancing in front of a group of people.'], ['A man and a woman are dancing while a group looks on.'], ['A couple is dancing together in public.']]","[['""A young woman, dressed in a red shirt and black skirt, is dancing with a young man, dressed in a white shirt with red pants, in front of a projector screen which is showing a picture from a children\'s film."", \'A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.'], ['A man and women are holding hands and dancing with many people in the background but they are not paying attention to them.'], ['A couple, wearing black, burgundy, and white, dance.'], ['Two people dancing, wearing dance costumes.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7CBB9EC48920>,"[['A street with a brick road, many parked cars and a man walking down the street.'], ['A man walking down the street in front of some shops.'], ['A man walks down a street lined with shops.'], ['A street is lined with stores and cars.'], ['A man walking down a street.']]","[['A sunny street with a red building, parked cars, and a man walking down the road.'], ['Old cobblestone street with cars parked on the sides.'], ['A city street with a lone man walking in the middle.'], ['A person is walking down a cobblestone street.'], ['A person walking by buildings and cars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9E58EBD0>,"[['Several players are on a soccer field with a crowd watching in the background.'], ['Several soccer players are standing on a soccer field.'], ['Three men in red jerseys are on a soccer field.'], ['Soccer players stand in the field during a game.'], ['Two soccer teams playing a game.']]","[['A soccer game between a team with blue uniforms and red uniforms where the ref or a coach is talking to a player.'], ['A referee in an international soccer match discussing a recent foul with players from each team.'], ['A soccer team is standing on the field waiting for their time to make a move.'], ['During a soccer game two players in blue talk with a player in red'], ['Soccer players speaking with referee during a game.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7CBB9F03D8E0>,"[['A young girl with blond-hair and a girl with red-hair are looking at a paper, while sitting on the ground.'], ['Two girls and a man are sitting on the ground looking at a paper and at a red and white table.'], ['A girl and a young boy are playing a game on the ground with a man standing behind them.'], ['A young girl is sitting with a man and another girl while they are looking at a paper.'], ['Two girls look at a paper while sitting on the ground.']]","[['A young blond woman is putting together a table while a young brunette is reading her the instructions.'], ['Two woman are on the ground setting up shot glasses on a table.'], ['A man and two women attempting to construct a grill.'], ['A group of people are hanging out outside.'], ['Two women work on a project outdoors.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9E880E30>,"[['A young man wearing a white t-shirt and black pants is jumping from one building to another.'], ['A young man in a white shirt and black pants jumping from one building to another.'], ['A young man in a white shirt and black pants jumping from one building to another.'], ['A young man is jumping from one building to another.'], ['A man is jumping from one building to another.']]","[['A man wearing black sweatpants, a white T-shirt, and sneakers leaps off a concrete roof toward a tall brick wall.'], ['A tall, athletic man leaps upward towards the top of a brick wall.'], ['A man taking a daring leap while practicing his parkour'], ['Man in a white shirt jumping toward a brick wall.'], ['Man jumping from lower roof to higher roof.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9E78FE90>,"[['A woman and two men are sitting down, one man is raising his hand and there is a picture of a naked man in a magazine behind them.'], ['An older man is holding up his hand in the air while a woman sits behind him.'], ['Two older men and one woman are sitting down with one of the men raising his hand.'], ['A man is pointing his finger while another man points his finger at him.'], ['Two men and one woman are sitting in a room.']]","[['An old man with arms outstretched sits against a wooden wall between a woman and another man.'], ['Old man with black shirt throws hands up while sitting next to white woman and white man.'], ['A gray-haired man is sitting down with his arm stretched out.'], ['An older man is opening his arms wide and looking perplexed.'], ['A man in a gray shirt holds his hands in the air.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7CBB9ECF6EA0>,"[['A man in sunglasses poses in front of a building with a flag on top.'], ['A man in sunglasses poses in front of a building with a red flag.'], ['A man wearing sunglasses is posing in front of a building.'], ['A man is standing in front of a building with a flag on it.'], ['A man is in front of a building with a red flag.']]","[['A white man in a white and black t-shirt, white khaki pants, and black shades is waving his arms and standing in front of a white fence of what looks like an Asian property with pointy roofs, a red flag on a tall pole, and pink flowers.'], ['A pale man wearing sunglasses with a white polo shirt and khaki pants, stands outside a white gate of a building, with Asian inspired architecture, his excitement is illustrated by his smile and outstretched arms.'], ['A man wearing a white shirt with a black stripe in khaki pants posing in front of a fence guarding a building and a red flag.'], ['Man in white shirt poses in front of white fence and large building.'], ['Man making a funny pose in front of an Asian building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x474 at 0x7CBB9E4F9670>,"[['A man in a white tank top with a tattoo on his arm is sitting behind a food stand.'], ['A man with a tattoo on his arm wearing a white shirt is sitting in a food stand.'], ['A man with a tattoo on his arm is sitting behind a food counter.'], ['A man with a tattoo on his arm sits in a food stand.'], ['A man with a tattoo on his arm is behind a counter.']]","[['A guy with his hand on his chin, tattoos on both arms, and a gold bracelet on standing behind a food business counter.'], ['A man with several tattoos is working a restaurant stand.'], ['A male vendor waits for customers to order beer.'], ['A man with tattoos holds his chin and thinks.'], ['Man working at outdoors concession stand.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7CBB9EA485F0>,"[['A little boy with a long-sleeved shirt on with animals on it is playing chess with a white pawn.'], ['A little boy in a long-sleeve gray shirt with footballs on it is playing chess.'], ['A young child plays chess with a black and white pawn on a checkered board.'], ['A small child in a sports themed shirt plays chess with a white pawn.'], ['A toddler in a sports shirt playing chess.']]","[['The baby seems fascinated with the pawn chess pieces on the chessboard.'], ['Toddler playing with chess pieces on a chessboard.'], ['A toddler is grasping pawns on a chessboard.'], ['The cute little baby is playing chess.'], ['A baby plays chess as a cat looks on.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=334x500 at 0x7CBB9EB15CA0>,"[['A woman wearing a white shirt and black sunglasses dances with a man in a white robe.'], ['People are dancing outside in the grass.'], ['A crowd is dancing in the grass.'], ['A crowd dancing on the lawn.'], ['People dancing on the lawn']]","[['A man dressed in ceremonial clothing is dancing outside with people following him waving their hands.'], ['A group of people are being led in a dance by a man in traditional dress.'], ['A man in a white robe leading other people in a line dance of some sort.'], ['Girls dance behind a man wearing a white robe and turban.'], ['Guy performing and teaching Middle Eastern Dancing.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBBDEC1ED20>,"[['A man in a purple sweater stands next to a man in a green jacket as a third man in a gray shirt sits down with a bicycle in front of him.'], ['Two men are standing while another sits on a chair with a bicycle on the ground in front of them.'], ['Two men standing in front of a building as another man sits down with a bicycle in front of him.'], ['Two men are standing while a third man sits down on a chair in front of a bicycle.'], ['A man sits on a chair while two other men stand.']]","[['An Asian man attempting to repair a green bicycle outdoors while two other Asian men stand by.'], ['Two men observe as a third fixes a green bicycle in front of a building with glass doors.'], ['""Three Chinese men trying to repair a child\'s green bicycle."", \'Three men are working on a green bicycle.'], ['A few Japanese folk fix a bike.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9EF3CA40>,"[['A group of people are in a meeting room, standing in front of tables that have flowers on them.'], ['A group of people are sitting and standing at a table with yellow flowers.'], ['People gathered in a room with American flag and flower arrangements.'], ['A man is giving a presentation to a group of people.'], ['A group of people are in a meeting.']]","[['A woman in a tan shirt is addressing a group of people in a restaurant.'], ['A group of people are at tables looking towards a speaker.'], ['A group of elderly people are meeting together in a room.'], ['A group of people are conversing with one another.'], ['People are gathered at a meeting.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9EA6DE80>,"[['Three people are wrestling on the ground while others watch.'], ['Three people wrestling with each other on a court.'], ['Two young men wrestling in a game.'], ['Two people wrestling on the floor'], ['A group of young men wrestling.']]","[['Two individuals, one male and one unknown, playfully wrestle on a cement floor while five onlookers smile.'], ['A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground.'], ['Two people are acting on a stage tackling each other as onlookers cheer and applaud.'], ['A woman tickling a man on the floor while five other people are laughing.'], ['Two people appear to fight while five others look on in the background.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9EAADE50>,"[['A woman and child shop for food in a produce market.'], ['Two people shop for food in a market.'], ['Two women shop in an Asian market.'], ['Two women at a market.'], ['Two people shopping.']]","[['An East Asian man in a black jacket and a woman in a salmon-colored jacket are looking at goods in an Asian grocery store.'], ['A man and woman are looking at something inside a market filled with many foods.'], ['A man and a woman examine the wares of fresh produce at a grocery store.'], ['Lady in red jacket, man in black jacket in open market.'], ['An Asian man and woman in a produce market.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7CBB9EF16F30>,"[['A little girl is carrying two small cages with birds in them.'], ['A young girl holding two cages of birds outside a store.'], ['A young girl carries two cages of birds.'], ['A girl is holding two cages of birds.'], ['A girl holds two bird cages.']]","[['A little girl holding 2 cages one of them is being held closeup to the camera she appears to be at the entrance of a store.'], ['A little girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.'], ['A small girl holding a colorful yellow and orange box by a string.'], ['A young girl in a white outfit and flip-flops is holding two cages'], ['A thin young girl with two small wooden cages, one in each hand.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7CBB9E69DA90>,"[['Two dancers on stage, one in the foreground in a full-body pose, and one in the background bending over.'], ['A dancer with her feet in her hands and a dancer bent over with arms above her head.'], ['Two people are on stage, one bending over and the other one is in a pose.'], ['Two dancers, one standing and one bending over, on stage.'], ['Two people are dancing in a dark setting.']]","[['A modern dancer is holding a pose in the foreground and another dancer is in the background.'], ['A man in a woman in dance outfits are performing stretching maneuvers on a stage.'], ['Two classical dancers, a man and a woman, performing on stage.'], ['A female contortionist practices her solo performance on stage.'], ['A lady and a man are on stage dancing with flexibility.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x484 at 0x7CBB9DA71880>,"[['Two young people, one with purple hair and the other with red, wearing strange clothing, walk down a street.'], ['A man and a woman walking down the street dressed in a very unusual fashion.'], ['A young man and woman wearing unusual clothing are walking on a street.'], ['A man and woman wearing gothic clothing are walking down a street.'], ['A man and woman walking down the street wearing strange clothes.']]","[['A woman in skirt, torn stockings and combat boots and a man in aviators and batman tank top walk down a city street.'], ['A man and woman dressed in punk rock style clothing are seen crossing the street during the daytime.'], ['Two hipsters strolling down the street with ridiculous looking clothes on.'], ['A man and a woman dressed in punk clothing walking down the street.'], ['Two colorfully dressed people walk down a sidewalk into the camera.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7CBB9DE3ADB0>,"[['A group of people sit in front of a small hut made from sticks and leaves.'], ['A group of people sitting around a hut in a field of grass.'], ['A group of African villagers sitting near their hut.'], ['African villagers gathered outside of a hut.'], ['A group of people outside a hut.']]","[['A family in an African village sits outside of their home on the ground.'], ['A group of indigenous people relaxing outside of their hut.'], ['Numerous people sitting on the ground near a straw hut.'], ['Multiple people are sitting in outside of a hut.'], ['Several African women sit in front of a hut.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=353x500 at 0x7CBB9ED13260>,"[['A young person in a helmet and pink pants is skiing down a snowy hill.'], ['A skier in pink pants and a helmet is on the snow.'], ['A little girl in pink pants is skiing down a slope.'], ['A young girl is skiing down a snowy hill.'], ['A person skiing down a snowy hill.']]","[['A little girl in a pink and white ski suit and red helmet skies sideways on the snow covered slope.'], ['Young skier in a pink ski-suit is on the side of a snowy hill'], ['Person in pink skis wearing skis on a slope.'], ['Child in pink and white skiing down a slope.'], ['Little girl skis on slope.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x500 at 0x7CBB9EB29550>,"[['A man wearing black pants with white designs on them is pointing and standing on a stage.'], ['A man is pointing to the crowd while wearing a black shirt with green and white pants.'], ['A man in a black shirt with a white design is standing on stage in front of a crowd.'], ['A man on stage is gesturing while others watch.'], ['A man on stage in black pants is pointing.']]","[['A man is standing with his arms spread wide and an open vest exposing his chest.'], ['A man who is dressed like a wrestler walks while people take his picture.'], ['A shirtless man wearing a vest walks on a stage with his arms up.'], ['A man wearing a vest and pants walks across stage at a concert.'], ['A man in a black vest walks on a rail.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x450 at 0x7CBB9DC69490>,"[['A young man and woman pose together outside of a restaurant.'], ['A young man and woman wearing sunglasses smile for the camera.'], ['A man in a blue shirt stands next to a woman in a costume.'], ['A man and woman dressed in costumes are smiling.'], ['A young man and woman pose for a picture.']]","[['A man with dreadlocks wearing a blue shirt poses with his arm around a drag queen who has post-it notes in her hair.'], ['A man in a blue shirt has his arm over a woman wearing flower sunglasses and an orange outfit.'], ['A man with dreadlocks poses with an oddly dressed woman (drag queen?) in a city.'], ['Cross-dresser, with condoms in his hair, posing with a friend.'], ['A woman in a costume wearing condoms in her hair.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x420 at 0x7CBB9EAC72F0>,"[['An older man with a red shirt is sitting on a chair with a table in front of him on the sidewalk.'], ['A man in a red shirt and a blue hat is sitting in a chair next to a table on a sidewalk.'], ['An older man sits on a folding chair with a table in front of him on the sidewalk.'], ['A man sitting on a chair on a sidewalk in front of a building.'], ['A man is sitting on a folding chair on a sidewalk.']]","[['A man in a blue and white hat and a red and white shirt sets up a small table with glassware before him and a shadow on a streetlight is seen on the gray wall behind him.'], ['A man in a red shirt and a blue hat is sitting on a sidewalk and touching drinking glasses.'], ['A Latin American street vendor sets up a table selling glass ware in an inner city setting.'], ['A man wearing a hat sitting on a stool playing water glasses in the street.'], ['A man sitting on a stool selling something.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9EE1ED20>,"[['Two men wearing red and yellow uniforms perform a martial arts move in front of a crowd of onlookers.'], ['Two men in red and yellow outfits are performing a martial arts move in front of a crowd of onlookers.'], ['Two men dressed in red, yellow and black uniforms perform a martial arts stunt in front of a crowd.'], ['Two men in red uniforms and yellow stars are performing a martial arts move in front of a crowd.'], ['Two men in red and yellow uniforms perform a martial art in front of a crowd.']]","[['Two men in red performance one-piece-suits, performing what looks like gymnastics feats in front of an audience, outside.'], ['Two muscular men in red doing performance art on a black mat on grass with an audience in the background.'], ['The crowd is enjoying watching the circus performers do their routine.'], ['Two men wearing red suits perform in front of crowd.'], ['A big crowd is watching some kind of a game.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9E0C14C0>,"[['An elderly woman with short white hair sits in a cage with a cat and two rabbits.'], ['A woman sits on the floor next to a cage with two rabbits and a cat.'], ['An elderly woman is looking at a cat and two rabbits in a cage.'], ['An older woman is sitting down next to two rabbits and a cat.'], ['An older woman sits with two rabbits and a cat in a cage.']]","[['A cat observing two little rabbits in a box of hay inside an wire enclosure, while a woman in a white sweater looks on.'], ['A woman sits in a caged in area with a cat and two bunnies.'], ['A woman watching over her two bunnies and curious cat.'], ['An old woman watches a cat investigates two rabbits.'], ['A cat looking after the rabbits in a cage.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB7F6E83B0>,"[['A group of people in martial arts uniforms watch as two men in the center of the group are performing a martial arts demonstration.'], ['Two men are demonstrating karate while a group of people watch.'], ['Two men doing karate in front of a group of onlookers.'], ['A group of men watch as two men perform martial arts.'], ['Two men in black are practicing karate.']]","[['Two men sparring on a field with one man grabbing the wrist of the other while several people watch on a green lawn with a yellow house and several cars in the background.'], ['Men in black martial arts outfits practice their tan art in the grass in front of a tan building with a red roof.'], ['The students of Martial Arts class practicing outside near the studio'], ['Martial arts students practice outside building.'], ['Some men are learning martial art.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB9D1E0590>,"[['A group of people carrying balloons is walking down a street.'], ['A large group of people walk under a large balloon arch.'], ['A crowd of people walk under a balloon arch.'], ['A large group of people walk under balloons'], ['People walk under a balloon arch.']]","[['A large group of people walks beneath an arc made of balloons in a grassy clearing.'], ['Some people holding balloons are walking across some grass.'], ['A lot of people are on the street holding balloons.'], ['Individuals with balloons participating in a walk.'], ['A charity walk happening with balloons.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9ECDD280>,"[['A man wearing a black jacket is standing in front of a display which reads ""We Are All Workers"".'], ['A man wearing a blue and black plaid jacket is standing in front of a display.'], ['A man standing in front of a display reading ""We Are All Workers"".'], ['A man in a plaid jacket stands in front of a workers sign.'], ['A man in a black plaid jacket is standing near a sign.']]","[['A man in a black and blue checkered hooded sweater is looking at a Levi\\\'s advertisement that says, ""We Are All Workers.""'], ['A young man in a striped hoodie looks at an artistic Levi\\\'s advertisement that says ""We are all workers.""'], ['""People gather in front of a advertisement for Levi\'s with the words \'we are all workers\'."", \'A levis jeans ad reads ""we are all workers"" in a block-like climbable display.'], ['Two men are looking at a advertisement for Levis.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=416x500 at 0x7CBB9DE46BD0>,"[['A woman in a pink coat and man in a beige jacket are walking past a Lucky Night Shop.'], ['A couple are walking in the street with a chair outside that has a sign in front of it.'], ['An elderly couple walk past a Lucky Night Shop and a cafe.'], ['A man and woman are walking past a Lucky Night Shop.'], ['An elderly couple walking down the street.']]","[['An older man in a light green shirt and dark green pants holds the hand of an older woman as they pass an outside eatery with teal umbrellas.'], ['The old couple is walking past a colorful outdoor cafe.'], ['An older couple walks arm in arm past some shops.'], ['Two old people strolling the street.'], ['A couple walking down a street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7CBB7F6EA720>,"[['A brown and white dog is on the edge of a pool looking at a yellow ball in the water.'], ['A small brown and white dog is standing on a platform next to a pool of water.'], ['A brown and white dog is standing on a ramp next to a pool.'], ['A dog stands on the edge of a pool with a ball in it.'], ['A small dog is standing on the edge of a pool.']]","[['A brown and white dog walks down a ramp toward a pool of water in which a green tennis ball floats.'], ['A brown and white dog is looking at a tennis ball floating in a pool.'], ['A brown and white dog looking into a pool at a tennis ball.'], ['A dog descends a ramp into the pool to get a tennis ball.'], ['A dog looking at a tennis ball floating in a pool.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9EE3BD10>,"[['A man in a white tank top and khaki shorts is looking at clothes hanging from a rack.'], ['A man looking at clothes hanging on a rack in a public park.'], ['A man looks at clothing hanging on a rack at an outdoor fair.'], ['A man is looking at a collection of clothing.'], ['A man looking at clothes.']]","[['A man in a white tank top stands next to a rack of colorful clothes in a grassy field filled with vendors.'], ['There are many families selling various wares, including clothes, in a park.'], ['An outdoor flea market with a variety of items being sold.'], ['A man sells clothing at an open market.'], ['Clothes swaying in the wind.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x400 at 0x7CBB9D233410>,"[['A black dog is jumping over the chain link fence with a toy in its mouth.'], ['A black dog jumps over a fence while holding a toy in its mouth.'], ['The black dog is leaping over the fence with a toy in its mouth.'], ['A black dog jumps over a fence with a toy in its mouth.'], ['A black dog leaps over a chain-link fence.']]","[['A black and white dog with a blue toy in its mouth runs on a grassy surface just beyond a fence.'], ['A black dog is running pasts a wire mesh fence with a blue bone shaped toy in its mouth.'], ['A black dog is running with a blue bone in his mouth.'], ['A black dog running with a blue toy in his mouth.'], ['A dog is running with a blue bone in its mouth']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7CBB9D1E1B20>,"[['A woman with a red headband sits in front of a woman with red-hair, with a tall building and stone building in the background.'], ['A woman in a white shirt and red headband sitting with her hand in the air.'], ['A woman with a red headband is sitting and holding a white banner.'], ['A woman in a white shirt and a red headband is holding a banner.'], ['A woman in a white shirt and red headband holding a flag.']]","[['A woman in white shirt and purple headband is sitting and holding a pole with white a cloth.'], ['A woman wearing a white shirt and a red headband is sitting and holding on to a pole.'], ['A woman in a white shirt, with a red bandanna holding the end of a sign post.'], ['A woman with a redhead band and tan pants sitting on steps with child.'], ['Woman in white sitting down and looking into the distance.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DC69F70>,"[['A young boy is standing in the middle of the road and is pointing at a car that is coming towards him.'], ['A child in the middle of the road pointing at the cars that are approaching him.'], ['A boy pointing to a car in the distance in the middle of a road.'], ['A young boy is pointing at cars that are approaching him.'], ['A young child is pointing at a car in the road.']]","[['A male with brown clothing standing on the side of the street with his thumb out with a big bag on his back.'], ['A young boy, arms outstretched, stands by a road where two cars are passing.'], ['A boy wearing brown hitchhiking on a road with cars passing by.'], ['A child standing next to a road with automobiles passing by.'], ['A young kid standing on a road with passing cars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=334x500 at 0x7CBB9DC6BEF0>,"[['Three people dressed in black and white sailor hats, one of which is drinking a beverage and another holding a bottle, walk down a street with a crowd behind them.'], ['Three people wearing sailor hats walk down a street.'], ['Young people wearing sailor hats walk in a crowd.'], ['Three men and a woman wearing sailor hats walk.'], ['A crowd of people walking with a man drinking.']]","[['This photo shows a group of people walking and one man is holding a bottle of wine while handing a glass of wine to a woman walking near him.'], ['A man in a black shirt is walking down the street offering a glass of wine to a woman.'], ['A redheaded woman standing next to a man in a black jacket with a wine bottle.'], ['A man drinking in public, while making contact with a redheaded girl.'], ['Several people with white hats on with a black brim.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7CBB9EF93530>,"[['A woman wearing sunglasses, purple necklace, purple hat, purple shirt, black jacket and a black and white purse, holding a cup and a plastic bag.'], ['A woman with a purple hat, purple shirt, and black jacket walks through a market with a cup of coffee in her hand.'], ['A woman with a purple hat, purple shirt, and sunglasses holding a cup and bag is walking in a crowd.'], ['A woman with a purple hat, sunglasses, and purple necklace holding a Mud cup.'], ['A woman in purple hat and shirt walking with a Mud coffee cup.']]","[['An old woman with a purple shirt, and purple hair piece and a mud cup is walking the streets.'], ['A woman staring at the camera from behind sunglasses, holding a bag and coffee cup.'], ['Older woman in purple top with a purple flower in her hair.'], ['A woman is wearing a purple had with a large flower on it.'], ['Old lady carrying coffee down street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7CBB9ED75BE0>,"[['Two men standing at the back of a truck, one wearing a yellow shirt, the other wearing a pink shirt, both wearing yellow grass skirts, a lei and a top hat.'], ['Two men in grass skirts and Hawaiian shirts stand in the back of a moving truck.'], ['Two men are standing in the back of a moving truck, wearing hula attire.'], ['Two men in Hawaiian shirts and grass skirts are standing in a truck.'], ['Two men in Hawaiian shirts and grass skirts.']]","[['Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.'], ['Two men in Hawaiian shirts and grass skirts are posing outside of a moving truck.'], ['Two men in hula skirts are standing at the top of a ramp in a truck.'], ['Two men are wearing hula skirts in the back of a moving truck.'], ['Two men dressed in hula skirts on the back of a moving truck.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7CBB9DDF1F40>,"[['Two older men walk in front of a bus and behind them is the word ""love"" written on the sidewalk.'], ['Two old men are walking down the street and passing a street with the word love written on it.'], ['Two older men walking in front of a bus with the word ""love"" written on the ground.'], ['Two men walking on a sidewalk with a bus behind them.'], ['Two older men walking on the street.']]","[['Two older men in business attire are walking in a city, text graffiti is visible on the sidewalk.'], ['Two men walk along a busy city street with words printed on the sidewalk.'], ['Two elderly people walk down a city sidewalk by words written in chalk.'], ['Two people walk down a city street that has writing on it.'], ['Two men walk through a city with words on the street.']]"
